L.A. Clippers 2023 Record,,,,
DATE,SCORE,WINS,LOSS,OPPONENT
"Thu, Oct 20, 2022",103 - 97,Win ,,Lakers
"Sat, Oct 22, 2022",111 - 109,Win ,,Kings
"Sun, Oct 23, 2022",95 - 112,,Loss ,Suns
"Tue, Oct 25, 2022",94 - 108,,Loss ,Thunder
"Thu, Oct 27, 2022",110 - 118,,Loss ,Thunder
"Sun, Oct 30, 2022",91 - 112,,Loss ,Pelicans
"Mon, Oct 31, 2022",95 - 93,Win ,,Rockets
"Wed, Nov 2, 2022",109 - 101,Win ,,Rockets
"Fri, Nov 4, 2022",113 - 106,Win ,,Spurs
"Sun, Nov 6, 2022",102 - 110,,Loss ,Jazz
"Mon, Nov 7, 2022",119 - 117,Win ,,Cavaliers
"Wed, Nov 9, 2022",114 - 101,Win ,,Lakers
"Sat, Nov 12, 2022",95 - 110,,Loss ,Nets
"Mon, Nov 14, 2022",122 - 106,Win ,,Rockets
"Tue, Nov 15, 2022",101 - 103,,Loss ,Mavericks
"Thu, Nov 17, 2022",96 - 91,Win ,,Pistons
"Sat, Nov 19, 2022",119 - 97,Win ,,Spurs
"Mon, Nov 21, 2022",121 - 114,Win ,,Jazz
"Wed, Nov 23, 2022",107 - 124,,Loss ,Warriors
"Fri, Nov 25, 2022",104 - 114,,Loss ,Nuggets
"Sun, Nov 27, 2022",114 - 100,Win ,,Pacers
"Tue, Nov 29, 2022",118 - 112,Win ,,Blazers
"Wed, Nov 30, 2022",112 - 125,,Loss ,Jazz
"Sat, Dec 3, 2022",96 - 123,,Loss ,Kings
"Mon, Dec 5, 2022",119 - 117,Win ,,Hornets
