L.A. Lakers 2023 Record,,,
DATE,SCORE,RESULT,OPPONENT
"Tue, Oct 18, 2022",109 - 123,Loss ,Warriors
"Thu, Oct 20, 2022",97 - 103,Loss ,Clippers
"Sun, Oct 23, 2022",104 - 106,Loss ,Blazers
"Wed, Oct 26, 2022",99 - 110,Loss ,Nuggets
"Fri, Oct 28, 2022",102 - 111,Loss ,Timberwolves
"Sun, Oct 30, 2022",121 - 110,Win ,Nuggets
"Wed, Nov 2, 2022",120 - 117,Win ,Pelicans
"Fri, Nov 4, 2022",116 - 130,Loss ,Jazz
"Sun, Nov 6, 2022",100 - 114,Loss ,Cavaliers
"Mon, Nov 7, 2022",116 - 139,Loss ,Jazz
"Wed, Nov 9, 2022", 101 - 114,Loss,Clippers
"Fri, Nov 11, 2022",114 - 120,Loss ,Kings
"Sun, Nov 13, 2022",116 - 103,Win ,Nets
"Fri, Nov 18, 2022",128 - 121,Win ,Pistons
"Sun, Nov 20, 2022",123 - 92,Win ,Spurs
"Tue, Nov 22, 2022",105 - 115,Loss ,Suns
"Fri, Nov 25, 2022",105 - 94,Win ,Spurs
"Sat, Nov 26, 2022",143 - 138,Win ,Spurs
"Mon, Nov 28, 2022",115 - 116,Loss ,Pacers
"Wed, Nov 30, 2022",128 - 109,Win ,Trail Blazers
"Fri, Dec 2, 2022",133 - 129,Win ,Bucks
"Sun, Dec 4, 2022",130 - 119,Win ,Wizards
"Tue, Dec 6, 2022",102 - 116,Loss ,Cavaliers
"Wed, Dec 7, 2022",113 - 126,Loss ,Raptors
"Fri, Dec 9, 2022",122 - 133,Loss ,76ers
